,,Visible xsec (fb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,AQGC point,Generator-level,Passing preselection,Passing dijet kinematics,Passing jet substructure,Passing xi(jets),Passing 2 PPS multiRP,Passing pp-diboson matching,Passing WW,Passing ZZ,Expected WW,Expected ZZ,Relative Uncertainty WW + 1,Relative Uncertainty ZZ + 1,Expected WW (protonSyst),Expected ZZ (protonSyst),Expected WW (JECSystUp),Expected ZZ (JECSystUp),Expected WW (JECSystDown),Expected ZZ (JECSystDown),Relative Uncertainty WW + 1 (protonSyst),Relative Uncertainty ZZ + 1 (protonSyst),Relative Uncertainty WW + 1 (JECSystUp),Relative Uncertainty ZZ + 1 (JECSystUp),Relative Uncertainty WW + 1 (JECSystDown),Relative Uncertainty ZZ + 1 (JECSystDown),Expected WW (A),Expected ZZ (A),Relative Uncertainty WW + 1 (A),Relative Uncertainty ZZ + 1 (A),Expected WW (protonSyst) (A),Expected ZZ (protonSyst) (A),Expected WW (JECSystUp) (A),Expected ZZ (JECSystUp) (A),Expected WW (JECSystDown) (A),Expected ZZ (JECSystDown) (A),Relative Uncertainty WW + 1 (protonSyst) (A),Relative Uncertainty ZZ + 1 (protonSyst) (A),Relative Uncertainty WW + 1 (JECSystUp) (A),Relative Uncertainty ZZ + 1 (JECSystUp) (A),Relative Uncertainty WW + 1 (JECSystDown) (A),Relative Uncertainty ZZ + 1 (JECSystDown) (A),Expected WW (B),Expected ZZ (B),Relative Uncertainty WW + 1 (B),Relative Uncertainty ZZ + 1 (B),Expected WW (protonSyst) (B),Expected ZZ (protonSyst) (B),Expected WW (JECSystUp) (B),Expected ZZ (JECSystUp) (B),Expected WW (JECSystDown) (B),Expected ZZ (JECSystDown) (B),Relative Uncertainty WW + 1 (protonSyst) (B),Relative Uncertainty ZZ + 1 (protonSyst) (B),Relative Uncertainty WW + 1 (JECSystUp) (B),Relative Uncertainty ZZ + 1 (JECSystUp) (B),Relative Uncertainty WW + 1 (JECSystDown) (B),Relative Uncertainty ZZ + 1 (JECSystDown) (B),Passing WW (A),Passing ZZ (A),Passing WW (B),Passing ZZ (B)
2016,WW_A0W5e-7,42.16331659,0.3597843203,0.2728466396,0.1165169928,0.113071189,0.004941641471,0.003123828197,0.002662692723,0.0004611354749,0.02640464855,0.004572859663,1.398758444,1.958199968,0.02621096906,0,0.03081960044,0.004572859663,0.02640464855,0.004572859663,1.007335053,2,1.167203585,1,1,1,0.02162836874,0.004572859663,1.440593622,1.958199968,0.01303950419,0,0.01742401653,0.004572859663,0.02162836874,0.004572859663,1.397111065,2,1.194390629,1,1,1,0.004776279808,0,1.937573251,1.0,0.01317146487,0,0.01339558391,0,0.004776279808,0,2.757682841,1.0,2.804606188,1.0,1,1.0,0.002181043991,0.0004611354749,0.0004816487318,0
2016,WW_A0W1e-6,45.39474365,1.397438433,1.036657205,0.4462620653,0.4332425177,0.02004765093,0.01312017765,0.01189326694,0.001226897949,0.1179398325,0.01216655939,1.195773117,1.609536082,0.07687694531,0.01824295467,0.1227093296,0.01216655939,0.1187363082,0.01216655939,1.348168098,1.499434153,1.040440087,1,1.006753237,1,0.06516938555,0.007881316776,1.263367085,1.757327832,0.04027784782,0.004318548131,0.06493876019,0.007881316776,0.06516938555,0.007881316776,1.381951395,1.452052461,1.003538861,1,1,1,0.05277044693,0.00428524261,1.292676548,2.027059496,0.03659909749,0.01392440202,0.0577703886,0.00428524261,0.05356687741,0.00428524261,1.306447081,3.249384758,1.094748898,1,1.015092358,1,0.006571799217,0.0007947662998,0.005321467724,0.0004321316488
2016,WW_A0W2e-6,58.31583079,5.667115271,4.160127591,1.851408883,1.797830411,0.07571268605,0.04488110885,0.0384536442,0.006427500138,0.3813263738,0.06373844069,1.12402529,1.303359748,0.2867678459,0.05679184951,0.4196291742,0.06373844069,0.3819633852,0.07210892235,1.247972693,1.108985898,1.10044624,1,1.001670515,1.131325485,0.2319126634,0.03525846094,1.159036365,1.407874916,0.1223568587,0.02943139081,0.2510936852,0.03525846094,0.217364638,0.04177850087,1.472401132,1.165267285,1.082707954,1,1.062730621,1.184921286,0.1494133585,0.0284799211,1.198136259,1.453825905,0.1644109285,0.02736046457,0.1685357237,0.0284799211,0.1645988058,0.03033033349,1.100376366,1.039306869,1.127982968,1,1.101633799,1.064972525,0.02338649423,0.003555527247,0.01506711448,0.002871966976
2016,WW_A0W3_5e-6,93.48528508,17.32230916,12.76295701,5.656271083,5.447069712,0.2429576921,0.1488643787,0.132255596,0.01660864249,1.311515407,0.1646999536,1.084074559,1.237249093,0.9635875029,0.1283224659,1.324634075,0.1704775998,1.378134061,0.1664892505,1.265286936,1.220871269,1.010002679,1.035079829,1.050795174,1.010863979,0.8122143393,0.1079721687,1.106835595,1.293018733,0.4785546429,0.06820311011,0.8218074403,0.1333228744,0.8413746594,0.1097614656,1.410802519,1.368326941,1.011811046,1.234789261,1.035902247,1.016571834,0.499301068,0.05672774776,1.136260523,1.404253257,0.4850319329,0.06011930018,0.5028266346,0.0371546883,0.536760329,0.05672774776,1.028578219,1.059786481,1.007061004,1.345035018,1.075023394,1,0.08190516933,0.01088810962,0.05035042666,0.005720529128
2016,WW_A0W5e-6,148.1320476,35.53690574,25.96281697,11.37932584,10.98628542,0.5785829381,0.3613298904,0.3257930739,0.03553663799,3.230733889,0.3523998202,1.067570421,1.204592345,1.817032717,0.3931520437,3.24410693,0.3523998202,3.18657306,0.368727438,1.437578959,1.11564201,1.00413932,1,1.013668978,1.046332651,1.696628152,0.2586525361,1.093242495,1.238807987,0.8324164427,0.1888420502,1.679768031,0.2431406354,1.647533192,0.2727439385,1.509370134,1.269900644,1.009937428,1.059971964,1.028936782,1.054480047,1.534105738,0.09374802159,1.098057219,1.396667084,0.984616274,0.2043101411,1.564338898,0.1092590372,1.539039867,0.09598276194,1.358182262,2.179354163,1.019707351,1.165454325,1.00321629,1.023837733,0.1710910647,0.02608299158,0.1547020092,0.009453720787
2016,WW_ACW2e-6,42.45569449,0.4449853054,0.3253551346,0.1397002373,0.1352814206,0.006158489449,0.003890767881,0.003437930682,0.0004528371995,0.03409231212,0.00449056964,1.353923656,1.975185199,0.022697418,0,0.03889317409,0.00449056964,0.03409231212,0.00449056964,1.334236472,2,1.140819489,1,1,1,0.02509370662,0,1.41252988,1.0,0.01797060598,0,0.02989452588,0,0.02509370662,0,1.283860043,1.0,1.191315669,1.0,1,1.0,0.008998605501,0.00449056964,1.688890527,1.975185199,0.00472681202,0,0.008998605501,0.00449056964,0.008998605501,0.00449056964,1.474717275,2,1,1,1,1,0.002530494958,0,0.0009074357244,0.0004528371995
2016,WW_ACW5e-6,48.745879,2.68662556,1.997506608,0.9011514107,0.8737972313,0.04549037775,0.02531569758,0.02364957092,0.001666116865,0.2345214689,0.01652208304,1.143866725,1.542024926,0.1718374203,0.03590336046,0.2289995134,0.01114934072,0.234320997,0.02291800837,1.267284905,2.1730529,1.023545629,1.325185529,1.000854812,1.387113738,0.129090563,0.01114934072,1.193911878,1.659822416,0.08459032941,0.006395876788,0.1237176265,0.01114934072,0.1226977928,0.01754526605,1.344721043,1.426344844,1.04162145,1,1.049521592,1.573659509,0.1054306632,0.005372742313,1.214569599,1.950503354,0.08724699385,0.02950743513,0.1052814986,0,0.1116230101,0.005372742313,1.172470407,5.49206223,1.001414813,2,1.058733832,1,0.01301772686,0.001124319771,0.01063181959,0.0005417970942
2016,WW_ACW8e-6,61.40225654,6.936320363,5.130766983,2.281374008,2.212100394,0.1035185171,0.0711932972,0.06058176346,0.01061146591,0.6007603352,0.1052288255,1.10088496,1.241051418,0.4173416777,0.04475933011,0.6258452876,0.09943230972,0.6251262337,0.1113516059,1.305310865,1.574647632,1.041755341,1.055084866,1.040558434,1.058185391,0.382602082,0.06277055338,1.126416391,1.312103813,0.2557044825,0.01036196979,0.388825322,0.06277055338,0.3823110364,0.07468982509,1.331669913,1.834923077,1.016265568,1,1.000760701,1.189886357,0.2181583144,0.04245823545,1.167413767,1.379486283,0.1616366449,0.03439737255,0.2370202713,0.0366617808,0.2428151362,0.0366617808,1.259085562,1.189853931,1.08645995,1.136521327,1.113022609,1.136521327,0.03858228893,0.006329896623,0.0219994807,0.004281565586
2016,WW_ACW1_4e-5,102.0359708,20.85358112,15.30716084,6.887428027,6.612185996,0.3178532729,0.1862815619,0.1610356179,0.02524592355,1.596913102,0.2503517334,1.079600478,1.201039326,1.034232905,0.2234887487,1.565061332,0.2395480955,1.570358324,0.2613723102,1.352354926,1.107300973,1.019945838,1.043153837,1.016628818,1.044020373,0.88886968,0.1985645542,1.106693331,1.225738408,0.6030628056,0.1339677606,0.8899837179,0.1888977206,0.8644296518,0.209368192,1.321539682,1.325318856,1.00125332,1.048683581,1.027495626,1.054408693,0.7080444337,0.05178728042,1.119543527,1.442022898,0.4311700992,0.08952108929,0.6750776142,0.05065048621,0.7059286724,0.05200421931,1.391040903,1.728630825,1.046560382,1.021951224,1.002988176,1.004189038,0.08963523313,0.02002361033,0.07140048683,0.005222323427
